customer_id;first_name;last_name;gender;DOB;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car;Street;Home;address;postcode;state;country;property_valuation
36;Lurette;Stonnell;Female;1977-11-09;VP Quality Control;n/a;Affluent Customer;N;No;Brown Drive;3496;3496 Brown Drive;2207;New South Wales;Australia;8
37;Laurie;Dwerryhouse;Female;1985-12-22;Social Worker;Health;High Net Worth;N;No;Cody Way;7188;7188 Cody Way;3350;VIC;Australia;9
38;Cordi;Merman;Female;1955-10-29;Senior Cost Accountant;Financial Services;Affluent Customer;N;No;Claremont Park;1;1 Claremont Park;3931;VIC;Australia;10
39;Hunfredo;Smalley;Male;1979-04-16;Assistant Media Planner;Entertainment;Mass Customer;N;No;Eagan Circle;60;60 Eagan Circle;4018;QLD;Australia;8
40;Tomasine;Jerche;Female;1981-10-27;Payment Adjustment Coordinator;Manufacturing;Affluent Customer;N;No;Eagle Crest Center;89314;89314 Eagle Crest Center;4670;QLD;Australia;2
41;Basilius;Coupe;Male;1976-04-14;Food Chemist;Health;Mass Customer;N;No;Lakewood Place;2028;2028 Lakewood Place;2480;New South Wales;Australia;3
42;Chiquita;Durnall;Female;1977-03-28;Accountant III;Manufacturing;Mass Customer;N;No;Hudson Point;70875;70875 Hudson Point;3212;VIC;Australia;6
43;Indira;Belt;Female;1983-03-01;Director of Sales;Retail;Mass Customer;N;No;Killdeer Park;543;543 Killdeer Park;2322;New South Wales;Australia;4
44;Neron;Verick;Male;1981-10-18;Assistant Media Planner;Entertainment;Affluent Customer;N;Yes;Ramsey Drive;22125;22125 Ramsey Drive;3198;VIC;Australia;9
45;Trace;Woodhead;Male;1975-09-23;Senior Financial Analyst;Financial Services;Mass Customer;N;No;Calypso Terrace;3107;3107 Calypso Terrace;2210;New South Wales;Australia;9
46;Kaila;Allin;Female;1972-02-26;;n/a;Affluent Customer;N;Yes;Veith Junction;957;957 Veith Junction;2047;New South Wales;Australia;10
47;Matthew;Jeaycock;Male;1992-10-22;Registered Nurse;Health;Affluent Customer;N;No;Gulseth Avenue;4853;4853 Gulseth Avenue;4503;QLD;Australia;5
48;Rebbecca;Casone;Female;1975-08-15;Biostatistician II;n/a;Mass Customer;N;Yes;Michigan Terrace;9;9 Michigan Terrace;2145;New South Wales;Australia;8
49;Nolly;Ownsworth;Male;1994-01-26;VP Quality Control;n/a;Affluent Customer;N;No;Steensland Road;62;62 Steensland Road;4350;QLD;Australia;3
50;Whitby;Schapero;Male;1980-10-01;Account Executive;Manufacturing;Mass Customer;N;Yes;Homewood Avenue;6;6 Homewood Avenue;2142;New South Wales;Australia;8
51;Fidelio;Dilke;Male;1959-12-05;Computer Systems Analyst II;Retail;Mass Customer;N;No;Almo Lane;15;15 Almo Lane;2029;New South Wales;Australia;10
52;Curran;Bentson;Male;1988-06-22;;Financial Services;Mass Customer;N;Yes;Glacier Hill Circle;690;690 Glacier Hill Circle;2127;New South Wales;Australia;10
53;Agnella;Gocke;Female;1954-04-18;Software Test Engineer II;Financial Services;Mass Customer;N;No;Village Green Terrace;89787;89787 Village Green Terrace;4280;QLD;Australia;6
54;Loralyn;Wonfor;Femal;1966-07-24;Sales Associate;Property;Mass Customer;N;Yes;Elgar Park;18;18 Elgar Park;2166;New South Wales;Australia;9
55;Linc;Jillions;Male;1956-09-24;Paralegal;Financial Services;Affluent Customer;N;Yes;Mayer Street;413;413 Mayer Street;2046;New South Wales;Australia;9
56;Reese;Ensor;Male;1996-07-04;VP Sales;Property;Mass Customer;N;Yes;3rd Drive;39;39 3rd Drive;2026;New South Wales;Australia;10
57;Abba;Masedon;M;1988-06-13;Chief Design Engineer;n/a;Mass Customer;N;Yes;Katie Parkway;44516;44516 Katie Parkway;2765;New South Wales;Australia;7
58;Dalenna;Pinnock;Female;1967-07-04;Office Assistant III;Financial Services;Affluent Customer;N;Yes;Schurz Center;41;41 Schurz Center;2749;New South Wales;Australia;8
59;Niki;Heathcote;Male;2000-02-08;Physical Therapy Assistant;n/a;High Net Worth;N;No;Boyd Road;68150;68150 Boyd Road;2745;New South Wales;Australia;9
60;Nadiya;Champerlen;Female;1970-02-04;;Manufacturing;Mass Customer;N;No;Westend Hill;11474;11474 Westend Hill;3752;VIC;Australia;8
61;Kacey;Rowbottom;Female;1959-11-29;Help Desk Operator;Property;High Net Worth;N;No;Jana Crossing;308;308 Jana Crossing;2153;New South Wales;Australia;10
62;Sorcha;Roggers;Female;1979-07-06;;IT;Mass Customer;N;Yes;Straubel Trail;163;163 Straubel Trail;2217;New South Wales;Australia;10
63;Ebony;Zini;Female;1965-07-03;Senior Quality Engineer;Retail;Mass Customer;N;Yes;Clarendon Crossing;68294;68294 Clarendon Crossing;2230;New South Wales;Australia;10
64;Gerek;Yve;Male;1978-03-25;Legal Assistant;IT;High Net Worth;N;No;Mariners Cove Plaza;486;486 Mariners Cove Plaza;3046;VIC;Australia;7
65;Yale;Tanser;Male;1976-04-01;Information Systems Manager;Financial Services;Affluent Customer;N;Yes;Dryden Court;0322;0322 Dryden Court;3183;VIC;Australia;7
66;Anselm;Gawne;Male;2002-03-11;Account Executive;Argiculture;High Net Worth;N;No;Bonner Road;9;9 Bonner Road;2070;New South Wales;Australia;12
67;Vernon;;Male;1960-06-14;Web Developer II;Retail;Mass Customer;N;No;Briar Crest Lane;07041;07041 Briar Crest Lane;2213;New South Wales;Australia;10
68;Dahlia;Eddoes;Female;1974-04-21;Information Systems Manager;n/a;Affluent Customer;N;No;Hanson Pass;29466;29466 Hanson Pass;4208;QLD;Australia;6
69;Heidi;Milner;Female;1969-06-22;Web Developer II;n/a;Mass Customer;N;No;Forest Run Trail;0212;0212 Forest Run Trail;2774;New South Wales;Australia;8
70;Foster;Vannoort;Male;1993-02-27;Paralegal;Financial Services;Affluent Customer;N;No;Menomonie Parkway;33055;33055 Menomonie Parkway;4133;QLD;Australia;8
71;Hoyt;Glavias;Male;1985-01-27;Research Associate;Argiculture;Affluent Customer;N;Yes;Merchant Avenue;4763;4763 Merchant Avenue;2756;New South Wales;Australia;8
72;Sammy;Cheese;Male;1972-02-13;Administrative Officer;Manufacturing;Affluent Customer;N;Yes;Ridgeway Court;439;439 Ridgeway Court;4213;QLD;Australia;9
73;Minette;Worters;Female;1960-05-27;Teacher;n/a;Affluent Customer;N;Yes;Clyde Gallagher Lane;2;2 Clyde Gallagher Lane;4170;QLD;Australia;5
74;Pansy;Kiddie;Female;1969-06-19;;n/a;Mass Customer;N;Yes;Loeprich Lane;97455;97455 Loeprich Lane;2153;New South Wales;Australia;9
75;Dollie;Sealy;Female;1978-07-15;VP Product Management;Property;Mass Customer;N;No;Ridgeway Street;9527;9527 Ridgeway Street;2073;New South Wales;Australia;10
76;Rea;Hasser;Female;1978-01-23;Statistician II;Retail;High Net Worth;N;Yes;Jackson Point;7;7 Jackson Point;3561;VIC;Australia;1
77;Shermie;Andrin;Male;1989-09-12;Automation Specialist IV;Financial Services;Mass Customer;N;No;Anniversary Junction;74;74 Anniversary Junction;2330;New South Wales;Australia;6
78;Arch;Van der Kruis;Male;1985-03-12;Business Systems Development Analyst;Argiculture;Affluent Customer;N;No;Spaight Court;2083;2083 Spaight Court;3977;VIC;Australia;8
79;Tybi;Silliman;Female;1968-10-02;Account Executive;Manufacturing;Mass Customer;N;No;Caliangt Circle;2796;2796 Caliangt Circle;2204;New South Wales;Australia;12
80;Pablo;Small;Male;1978-04-24;Data Coordiator;Entertainment;Mass Customer;N;No;Ludington Place;96061;96061 Ludington Place;2086;New South Wales;Australia;11
81;Bee;Blazewicz;Female;1986-09-04;;Health;High Net Worth;N;No;Merchant Crossing;5037;5037 Merchant Crossing;2226;New South Wales;Australia;11
82;Gleda;Cokely;Female;1965-06-28;Software Test Engineer III;Property;High Net Worth;N;No;Haas Street;289;289 Haas Street;2075;New South Wales;Australia;11
83;Kerr;Simmell;Male;1967-02-26;Internal Auditor;IT;Mass Customer;N;Yes;Bartelt Parkway;4423;4423 Bartelt Parkway;2038;New South Wales;Australia;12
84;Rich;Mathiasen;Male;1958-02-07;Accountant III;n/a;Mass Customer;N;Yes;Grim Center;5;5 Grim Center;2069;New South Wales;Australia;12
85;Kane;Tixall;Male;1958-05-21;Analyst Programmer;n/a;Mass Customer;N;No;Roth Crossing;73042;73042 Roth Crossing;2100;New South Wales;Australia;11
86;Job;Sleney;Male;1989-03-04;Occupational Therapist;Health;High Net Worth;N;Yes;Fordem Junction;171;171 Fordem Junction;2233;New South Wales;Australia;10
87;Fields;Langdon;Male;1974-04-23;Editor;Financial Services;Mass Customer;N;No;Manley Point;2640;2640 Manley Point;2166;New South Wales;Australia;9
88;Malynda;Tumber;Female;1966-02-03;Help Desk Operator;Property;High Net Worth;N;Yes;Hintze Pass;3;3 Hintze Pass;3133;VIC;Australia;10
89;Benedicto;Hoxey;Male;1967-01-22;Speech Pathologist;Health;Mass Customer;N;Yes;Mcbride Road;2;2 Mcbride Road;3070;VIC;Australia;10
90;Cary;Garron;Male;1984-11-12;Quality Control Specialist;Manufacturing;Mass Customer;N;No;Transport Hill;67234;67234 Transport Hill;2777;New South Wales;Australia;7
91;Dylan;Meaker;Male;1955-02-24;Senior Financial Analyst;Financial Services;Affluent Customer;N;Yes;Dorton Crossing;72;72 Dorton Crossing;3133;VIC;Australia;10
92;Jodee;Judkins;Female;1980-09-11;Recruiting Manager;Health;Mass Customer;N;No;Heffernan Center;6;6 Heffernan Center;2125;New South Wales;Australia;11
93;Gordon;Gowar;Male;1976-07-16;Project Manager;Retail;Mass Customer;N;Yes;Roxbury Hill;6088;6088 Roxbury Hill;2766;New South Wales;Australia;8
94;Wallache;Simchenko;Male;1974-08-07;Civil Engineer;Manufacturing;Mass Customer;N;No;Shelley Alley;105;105 Shelley Alley;2209;New South Wales;Australia;10
95;Nomi;Mallinder;Female;1960-12-25;Software Engineer III;Manufacturing;Affluent Customer;N;Yes;Merry Park;079;079 Merry Park;2160;New South Wales;Australia;9
96;Heath;Olford;Male;1968-08-31;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No;Summit Alley;8722;8722 Summit Alley;2065;New South Wales;Australia;12
97;Arne;Corain;Male;1979-07-27;Community Outreach Specialist;Financial Services;Mass Customer;N;Yes;Artisan Pass;9554;9554 Artisan Pass;2150;New South Wales;Australia;10
98;Allianora;Babalola;Female;1956-03-17;Safety Technician IV;Health;Mass Customer;N;No;Butterfield Road;55850;55850 Butterfield Road;2168;New South Wales;Australia;9
99;Reggie;Mulliner;Male;1998-06-13;VP Accounting;Financial Services;Mass Customer;N;No;Little Fleur Crossing;68;68 Little Fleur Crossing;2046;New South Wales;Australia;12
100;Tripp;Steed;Male;1968-05-11;General Manager;Financial Services;Mass Customer;N;Yes;New Castle Crossing;85688;85688 New Castle Crossing;4171;QLD;Australia;10
101;Goran;Kwietek;Male;1975-12-29;Nurse Practicioner;Manufacturing;High Net Worth;N;No;Loomis Lane;8611;8611 Loomis Lane;2155;New South Wales;Australia;10
102;Langsdon;Tranfield;Male;1956-11-27;Quality Control Specialist;Manufacturing;Affluent Customer;N;No;Pierstorff Crossing;7909;7909 Pierstorff Crossing;2517;New South Wales;Australia;9
103;Ethyl;Runham;Female;1997-04-21;Product Engineer;Financial Services;Affluent Customer;N;Yes;Muir Parkway;01;01 Muir Parkway;2096;New South Wales;Australia;12
104;Odille;Panketh;Female;1978-06-06;Automation Specialist II;Health;Mass Customer;N;Yes;Division Junction;0410;0410 Division Junction;2750;New South Wales;Australia;8
105;Maribeth;Pristnor;Female;2001-09-17;Recruiting Manager;Manufacturing;Mass Customer;N;No;Service Lane;41;41 Service Lane;2217;New South Wales;Australia;11
106;Glyn;;Male;1966-07-03;Software Test Engineer III;Health;High Net Worth;N;Yes;Moose Road;5;5 Moose Road;3977;VIC;Australia;8
107;Pris;Stallebrass;Female;1990-07-01;Nurse Practicioner;Financial Services;Mass Customer;N;Yes;Fieldstone Junction;7342;7342 Fieldstone Junction;2093;New South Wales;Australia;12
108;Kayle;Mingaud;Female;1994-03-14;;n/a;High Net Worth;N;No;David Terrace;0;0 David Terrace;3204;VIC;Australia;11
109;Cody;Blabey;Male;1978-12-11;Marketing Assistant;n/a;Affluent Customer;N;Yes;Northwestern Point;15239;15239 Northwestern Point;4300;QLD;Australia;4
110;Sascha;St. Quintin;Male;2000-07-31;;Financial Services;Affluent Customer;N;No;Oneill Street;60;60 Oneill Street;2170;New South Wales;Australia;9
111;Cele;Evason;Female;1993-08-29;Analyst Programmer;n/a;Mass Customer;N;No;Sachtjen Drive;8194;8194 Sachtjen Drive;3844;VIC;Australia;1
112;Shena;Parren;Female;1975-08-12;Marketing Manager;Retail;High Net Worth;N;No;Farmco Terrace;0349;0349 Farmco Terrace;2168;New South Wales;Australia;8
113;Gage;Nickless;Male;1956-05-06;Staff Scientist;n/a;Mass Customer;N;No;Pennsylvania Way;185;185 Pennsylvania Way;4226;QLD;Australia;6
114;Sunny;Swindells;Female;1985-10-23;Teacher;Entertainment;Affluent Customer;N;No;Longview Circle;432;432 Longview Circle;3192;VIC;Australia;10
115;Alberik;Mereweather;Male;1981-12-21;Account Executive;Health;Mass Customer;N;No;Bunker Hill Street;5814;5814 Bunker Hill Street;3070;VIC;Australia;7
116;Scottie;Swiffen;Male;1999-02-05;Assistant Professor;Manufacturing;Affluent Customer;N;Yes;Carberry Crossing;7;7 Carberry Crossing;2485;New South Wales;Australia;2
117;Nance;Suttling;Female;1982-02-23;Marketing Manager;Manufacturing;Mass Customer;N;No;Talisman Trail;53;53 Talisman Trail;2097;New South Wales;Australia;9
118;Prentice;Pearmain;Male;1959-11-12;Budget/Accounting Analyst IV;n/a;High Net Worth;N;No;Prairie Rose Road;5;5 Prairie Rose Road;4817;QLD;Australia;2
119;Willey;Chastanet;Male;1981-12-04;Associate Professor;n/a;High Net Worth;N;Yes;Florence Parkway;84;84 Florence Parkway;2516;New South Wales;Australia;8
120;Sloan;Wagg;Male;1978-09-02;Legal Assistant;Financial Services;High Net Worth;N;Yes;Elmside Way;739;739 Elmside Way;3074;VIC;Australia;8
121;Myles;Pauncefort;Male;1957-10-02;Graphic Designer;Manufacturing;Mass Customer;N;No;Northport Circle;684;684 Northport Circle;2213;New South Wales;Australia;10
122;Colver;Itter;Male;1979-04-19;Quality Control Specialist;Financial Services;Mass Customer;N;Yes;Hagan Hill;8;8 Hagan Hill;4508;QLD;Australia;4
123;Almeta;Kalinsky;Female;1988-12-03;Analyst Programmer;Financial Services;High Net Worth;N;No;Pearson Crossing;0;0 Pearson Crossing;4405;QLD;Australia;1
124;Kath;Cunney;Female;1995-05-03;Administrative Assistant II;Health;High Net Worth;N;Yes;Merry Way;10918;10918 Merry Way;2452;New South Wales;Australia;5
125;Darrelle;Antoniewski;Female;1960-03-17;Computer Systems Analyst II;Property;Mass Customer;N;No;Coolidge Trail;97;97 Coolidge Trail;2142;New South Wales;Australia;9
126;Norman;Cliff;Male;1992-10-15;Administrative Officer;Health;Mass Customer;N;Yes;Helena Hill;58;58 Helena Hill;2205;New South Wales;Australia;7
127;Merrili;Whitear;Female;1974-12-03;Compensation Analyst;Financial Services;Mass Customer;N;No;Forster Place;352;352 Forster Place;4132;QLD;Australia;3
128;Isidro;Cypler;Male;1977-07-17;Systems Administrator III;Property;Mass Customer;N;Yes;Lawn Street;12306;12306 Lawn Street;2145;New South Wales;Australia;8
129;Weidar;Silkstone;Male;1985-07-20;Financial Advisor;Financial Services;High Net Worth;N;Yes;7th Trail;19392;19392 7th Trail;4744;QLD;Australia;1
130;Raddy;Delete;Male;1997-07-18;Chemical Engineer;Manufacturing;Mass Customer;N;No;Northfield Junction;1605;1605 Northfield Junction;2158;New South Wales;Australia;11
131;Jana;Renyard;Female;1964-10-16;Administrative Officer;Retail;High Net Worth;N;No;Graceland Junction;9674;9674 Graceland Junction;3201;VIC;Australia;6
132;Celesta;Willavoys;Female;1963-07-07;Web Designer I;Manufacturing;Mass Customer;N;Yes;Thackeray Junction;638;638 Thackeray Junction;4178;QLD;Australia;3
133;Eldridge;Fiddeman;Male;1977-06-13;VP Accounting;Financial Services;Mass Customer;N;Yes;Forster Circle;869;869 Forster Circle;2112;New South Wales;Australia;10
134;Merna;McCulloch;Female;1997-08-01;Legal Assistant;Telecommunications;Affluent Customer;N;Yes;Golden Leaf Crossing;0;0 Golden Leaf Crossing;2033;New South Wales;Australia;9
135;Rosalia;Sigart;Female;1975-01-18;Internal Auditor;IT;Mass Customer;N;No;Lindbergh Trail;215;215 Lindbergh Trail;4401;QLD;Australia;1
136;Mel;Bennet;Male;1973-05-26;Senior Developer;Manufacturing;High Net Worth;N;Yes;Washington Crossing;829;829 Washington Crossing;3186;VIC;Australia;9
137;Vaughn;Artin;Male;1987-11-21;Office Assistant II;Property;High Net Worth;N;No;Loomis Court;585;585 Loomis Court;2097;New South Wales;Australia;11
138;Onofredo;Franc;Male;1985-04-28;Recruiter;Financial Services;Affluent Customer;N;Yes;Blue Bill Park Center;68063;68063 Blue Bill Park Center;3058;VIC;Australia;9
139;Gar;;Male;1964-07-28;Operator;Telecommunications;Affluent Customer;N;No;Farmco Point;15673;15673 Farmco Point;4017;QLD;Australia;6
140;Morrie;Flaxon;Male;1994-05-20;Programmer Analyst III;Manufacturing;Mass Customer;N;No;Oxford Junction;22;22 Oxford Junction;2315;New South Wales;Australia;3
141;Townsend;Trobe;Male;1954-06-25;Teacher;Financial Services;High Net Worth;N;Yes;Cottonwood Center;7245;7245 Cottonwood Center;2285;New South Wales;Australia;5
142;Bentley;Fortesquieu;Male;1967-08-07;Quality Engineer;Health;Affluent Customer;N;No;Spohn Alley;20382;20382 Spohn Alley;2219;New South Wales;Australia;11
143;Kendall;Figg;Male;1957-09-01;Operator;Argiculture;Mass Customer;N;Yes;Cambridge Pass;12375;12375 Cambridge Pass;2065;New South Wales;Australia;11
144;Jory;Barrabeale;U;;Environmental Tech;IT;Mass Customer;N;No;Granby Parkway;03;03 Granby Parkway;3216;VIC;Australia;8
145;Filippo;Ferrara;Male;1997-07-21;Account Executive;Financial Services;Mass Customer;N;No;Coleman Pass;939;939 Coleman Pass;4509;QLD;Australia;7
146;Ricoriki;Matlock;Male;1985-04-08;Quality Control Specialist;Manufacturing;Mass Customer;N;No;Bowman Place;69914;69914 Bowman Place;2330;NSW;Australia;7
147;Rea;Pattrick;Female;1973-12-06;Analog Circuit Design manager;Health;Mass Customer;N;Yes;Springview Street;34457;34457 Springview Street;2759;NSW;Australia;9
148;Jaquith;Maffey;Female;1981-05-08;Programmer Analyst III;n/a;Mass Customer;N;Yes;Old Shore Trail;992;992 Old Shore Trail;2069;NSW;Australia;12
149;Drucy;Kausche;Female;1995-01-31;Research Nurse;Health;Mass Customer;N;Yes;Sheridan Street;453;453 Sheridan Street;2747;NSW;Australia;8
150;Bradly;Crosse;Male;1983-08-23;Cost Accountant;Financial Services;Affluent Customer;N;No;Mccormick Crossing;8;8 Mccormick Crossing;2227;NSW;Australia;8
151;Donnie;Brimson;Male;1965-01-31;Marketing Manager;Manufacturing;Mass Customer;N;Yes;Holmberg Crossing;63344;63344 Holmberg Crossing;2025;NSW;Australia;10
152;Stephana;Cardew;Female;1981-03-03;Compensation Analyst;Financial Services;Mass Customer;N;No;Huxley Circle;9;9 Huxley Circle;3191;VIC;Australia;11
153;Lorilyn;Walshe;Female;1977-07-28;Assistant Media Planner;Entertainment;Mass Customer;N;Yes;Hazelcrest Road;0;0 Hazelcrest Road;3025;VIC;Australia;8
154;Faydra;Dulieu;Female;1958-02-13;Junior Executive;n/a;Mass Customer;N;No;Continental Plaza;2;2 Continental Plaza;2263;NSW;Australia;6
155;Orran;Bogges;Male;1985-12-28;Quality Engineer;Manufacturing;Mass Customer;N;No;Duke Terrace;80;80 Duke Terrace;2233;NSW;Australia;10
156;Shayla;Rimmington;Female;1979-09-09;Cost Accountant;Financial Services;Mass Customer;N;Yes;Hintze Lane;860;860 Hintze Lane;2154;NSW;Australia;11
157;Chad;Houtby;Male;1974-11-23;Financial Advisor;Financial Services;Affluent Customer;N;No;Bunker Hill Circle;3723;3723 Bunker Hill Circle;2065;NSW;Australia;10
158;Hamlin;Odams;Male;1984-09-03;Internal Auditor;n/a;Affluent Customer;N;No;Corry Court;5;5 Corry Court;2119;NSW;Australia;10
159;Arin;Matskevich;Male;1987-05-12;Research Nurse;Health;Affluent Customer;N;No;Sommers Pass;65105;65105 Sommers Pass;3016;VIC;Australia;10
160;Wake;Durning;Male;1964-07-15;Registered Nurse;Health;Mass Customer;N;No;Sommers Pass;2054;2054 Sommers Pass;4113;QLD;Australia;4
161;Tadd;Bloss;Male;1976-01-21;;n/a;Mass Customer;N;No;Miller Trail;22371;22371 Miller Trail;2032;NSW;Australia;10
162;Port;Acuna;Male;1979-08-12;Nurse Practicioner;IT;Mass Customer;N;No;Oneill Way;35807;35807 Oneill Way;4300;QLD;Australia;4
163;Kessia;Helder;Female;1976-09-06;Librarian;Entertainment;High Net Worth;N;Yes;Clarendon Junction;75612;75612 Clarendon Junction;4352;QLD;Australia;6
164;Aarika;Van Vuuren;Female;1999-08-07;Senior Editor;Retail;Affluent Customer;N;Yes;Golf View Center;16;16 Golf View Center;3020;VIC;Australia;6
165;Aldon;Roelofs;Male;1984-03-25;Administrative Officer;Argiculture;Mass Customer;N;Yes;Iowa Junction;93;93 Iowa Junction;2116;NSW;Australia;9
166;Elston;Oleszczak;Male;1955-06-12;Structural Analysis Engineer;Manufacturing;Affluent Customer;N;No;Cascade Terrace;48;48 Cascade Terrace;3057;VIC;Australia;8
167;Nathalie;Tideswell;Female;1969-10-27;;Health;High Net Worth;N;Yes;Jackson Avenue;13950;13950 Jackson Avenue;2099;NSW;Australia;11
168;Reggie;Broggetti;U;;General Manager;IT;Affluent Customer;N;Yes;Mockingbird Road;35386;35386 Mockingbird Road;3749;VIC;Australia;4
169;Alfy;Bruhnke;Male;1957-10-19;Data Coordiator;Telecommunications;High Net Worth;N;Yes;Randy Point;2;2 Randy Point;2766;NSW;Australia;8
